Total sizes:,,,
Used static DRAM,73828 bytes (50752 remain 59.3% used),,,
.data size,24908 bytes,,,
.bss  size,48920 bytes,,,
Used static IRAM,130634 bytes (438 remain 99.7% used),,,
.text size,129607 bytes,,,
.vectors size,1027 bytes,,,
Used Flash size ,1349255 bytes,,,
.text,1040963 bytes,,,
.rodata,308036 bytes,,,
Total image size,1504797 bytes (.bin may be padded larger),,,
Per-file contributions to ELF file:
Object File,DRAM .data,& 0.bss,IRAM0 .text,& 0.vectors,ram_st_total,Flash .text,& .rodata,& .rodata_noload,& .appdesc
ble_hs_startup.c.obj,0,0,0,0,0,635,0,0,0
rate_control.o,0,0,0,0,0,290,344,0,0
timeouts.c.obj,0,12,0,0,12,550,83,0,0
pvmp3_huffman_parsing.cp,0,0,0,0,0,623,0,0,0
libc_a-lcltime_r.o,0,0,0,0,0,616,0,0,0
ip4_addr.c.obj,0,0,0,0,0,541,61,0,0
stdexcept.o,0,0,0,0,0,419,180,0,0
sdcard.cpp.obj,0,4,0,0,4,580,16,0,0
pvmp3_polyphase_filter_w,0,0,0,0,0,591,0,0,0
main.cpp.obj,0,28,0,0,28,586,4,0,0
ble_hs_flow.c.obj,0,58,0,0,58,575,0,0,0
memory_layout_utils.c.ob,0,0,0,0,0,548,27,0,0
pthread_local_storage.c.,8,4,0,0,12,518,46,0,0
ble_hs_pvcy.c.obj,0,35,0,0,35,561,0,0,0
esp_clk_tree_common.c.ob,0,8,0,0,8,484,63,0,0
iot_qbus_port.cpp.obj,0,4,316,0,320,223,0,0,0
system_internal.c.obj,0,0,510,0,510,0,16,0,0
ble_svc_gatt.c.obj,128,7,0,0,135,326,70,0,0
esp_coex_adapter.c.obj,88,0,173,0,261,260,0,0,0
libc_a-gmtime_r.o,0,0,0,0,0,518,0,0,0
pvmp3_dct_16.cpp.obj,0,0,0,0,0,349,168,0,0
inet_chksum.c.obj,0,0,0,0,0,510,0,0,0
libm_a-e_sqrt.o,0,0,0,0,0,486,16,0,0
hal_sniffer.o,0,0,0,0,0,502,0,0,0
memspi_host_driver.c.obj,95,0,405,0,500,0,0,0,0
spi_flash_os_func_app.c.,56,0,367,0,423,49,25,0,0
app_startup.c.obj,0,1,0,0,1,464,32,0,0
audio_thread.c.obj,0,0,0,0,0,434,54,0,0
pvmp3_alias_reduction.cp,0,0,0,0,0,424,64,0,0
bignum_alt.c.obj,0,0,0,0,0,487,0,0,0
pp_timer.o,96,4,0,0,100,364,26,0,0
esp_ipc_isr.c.obj,12,32,405,0,449,35,30,0,0
